Location,TWI,Saturation,Watershed
HENA1,10.1656,1,NFEC
HENA2,4.1942,0.0139,NFEC
HENA3,5.98,0.671,NFEC
HENA4,5.3,0.3749,NFEC
HENA5,8.7283,1,NFEC
HENA6,4.87,0.3386,NFEC
HENA7,3.702,0.00205,NFEC
HENA8,4.99,0.044,NFEC
MENA1,9.5564,1,NFEC
MENA2,4.326,0,NFEC
MENA3,10.2614,1,NFEC
MENA4,4.218,0,NFEC
MENA5,8.8502,1,NFEC
MENA6,3.9082,0,NFEC
MENA7,3.5372,0,NFEC
MENA9,2.8667,0,NFEC
LENA1,12.6183,1,NFEC
LENA3,11.8509,1,NFEC
LENA4,3.8153,0.00296,NFEC
LENA5,10.4567,1,NFEC
LENA6,4.0683,0.00615,NFEC
LENA7,3.8772,0.00228,NFEC
LENA8,3.4729,0.00205,NFEC
LENA9,3.5377,0,NFEC
1A,10.368,1,CW
2A,11.3537,1,CW
3A,9.8089,1,CW
4A,8.6267,1,CW
5A,8.6224,0.2703,CW
6A,10.073,1,CW
7A,8.7953,0.4368,CW
8A,7.7292,0.00159,CW
9A,10.4638,1,CW
10A,8.4768,0.5372,CW
11A,7.1194,0.00592,CW
12A,8.774,0.1451,CW
13A,7.8,0.054,CW
14A,5.41,0.0173,CW
15A,4.1189,0.00296,CW
16A,4.4869,0.00114,CW
17A,3.1753,0,CW
18A,3.4209,0,CW
19A,9.506,0.5963,CW
20A,8.381,0.1935,CW
21A,5.8308,0,CW
