"","TWI","counts_saturated","counts_total","Saturation_ratio","Watershed"
"1",10.368,4391,4391,1,"CW"
"2",11.3537,4391,4391,1,"CW"
"3",9.8089,4391,4391,1,"CW"
"4",8.6267,4391,4391,1,"CW"
"5",8.6224,1187,4391,0.270325666135277,"CW"
"6",10.073,4391,4391,1,"CW"
"7",8.7953,1918,4391,0.436802550671829,"CW"
"8",7.7292,7,4391,0.00159416989296288,"CW"
"9",10.4638,4391,4391,1,"CW"
"10",8.4768,2359,4391,0.53723525392849,"CW"
"11",7.1194,26,4391,0.00592120245957641,"CW"
"12",8.774,637,4391,0.145069460259622,"CW"
"13",4.1279,237,4391,0.0539740378046003,"CW"
"14",3.5058,76,4391,0.0173081302664541,"CW"
"15",4.1189,13,4391,0.0029606012297882,"CW"
"16",4.4869,5,4391,0.00113869278068777,"CW"
"17",3.1753,0,4391,0,"CW"
"18",3.4209,0,4391,0,"CW"
"19",9.506,2619,4392,0.596311475409836,"CW"
"20",8.381,850,4392,0.193533697632058,"CW"
"21",5.8308,0,4391,0,"CW"
"22",6.5656,0,4391,0,"CW"
"23",6.8116,1298,4391,0.295604645866545,"CW"
"24",6.8261,42,4391,0.00956501935777727,"CW"
"25",6.3258,197,4391,0.0448644955590982,"CW"
"26",6.5122,162,4391,0.0368936460942838,"CW"
"27",6.7628,7,4391,0.00159416989296288,"CW"
"28",6.5283,0,4391,0,"CW"
"29",6.7375,249,4391,0.056706900478251,"CW"
"30",6.7145,16,4391,0.00364381689820087,"CW"
"31",8.0898,11,4391,0.00250512411751309,"CW"
"32",7.4146,3,4391,0.000683215668412662,"CW"
"33",6.551,0,4391,0,"CW"
"34",6.7924,0,4391,0,"CW"
"35",6.7041,0,4391,0,"CW"
"36",7.006,56,4391,0.012753359143703,"CW"
"37",6.9546,0,4391,0,"CW"
"38",6.2981,180,4391,0.0409929401047597,"CW"
"39",10.1656,4392,4392,1,"NFEC"
"40",4.1942,61,4391,0.0138920519243908,"NFEC"
"41",8.4531,2947,4392,0.670992714025501,"NFEC"
"42",5.1691,1646,4391,0.374857663402414,"NFEC"
"43",8.7283,4392,4392,1,"NFEC"
"44",4.255,1487,4392,0.338570127504554,"NFEC"
"45",3.702,9,4391,0.00204964700523799,"NFEC"
"46",4.1182,193,4391,0.0439535413345479,"NFEC"
"47",9.5564,4392,4392,1,"NFEC"
"48",4.326,0,4391,0,"NFEC"
"49",10.2614,4392,4392,1,"NFEC"
"50",4.218,0,4392,0,"NFEC"
"51",8.8502,4392,4392,1,"NFEC"
"52",3.9082,0,4392,0,"NFEC"
"53",3.5372,0,4392,0,"NFEC"
"54",2.8667,0,4392,0,"NFEC"
"55",12.6183,4392,4392,1,"NFEC"
"56",11.8509,4392,4392,1,"NFEC"
"57",3.8153,13,4391,0.0029606012297882,"NFEC"
"58",10.4567,4392,4392,1,"NFEC"
"59",4.0683,27,4392,0.00614754098360656,"NFEC"
"60",3.8772,10,4392,0.00227686703096539,"NFEC"
"61",3.4729,9,4392,0.00204918032786885,"NFEC"
"62",3.5377,0,4391,0,"NFEC"
